ID,Name,City,State
1311,Saint Ignatius,Cleveland,OH
1312,St. John the Apostle,Virginia Beach,VA
1314,The Basilica of Sts. Peter & Paul,Chattanooga,TN
1316,St. Genevieve Catholic Church,Lafayette,LA
1317,Saint John of the Cross,Cleveland,OH
1318,Immaculate Conception Catholic Church,Willoughby,OH
1319,Epiphany of Our Lord Catholic Church,Monessen,PA
1322,All Saints Parish,Butler,PA
1323,Saint Ann Catholic Church,Chesterfield,VA
1326,Star of the Sea,Virginia Beach,VA
1327,Holy Spirit Catholic Church,Christiansburg,VA
1334,St. Alphonsus Catholic Church,Crossville,TN
1336,Newman Catholic Student Center Parish,Chapel Hill,NC
1340,St. John Vianney Parish,Bell City,LA
1344,Gesu & St. Pius X Parishes,Toledo,OH
1345,St. James Roman Catholic Church,Gadsden,AL
1346,St. Francis Xavier Catholic Church,Birmingham,AL
1348,Our Lady of Victory Parish,Cincinnati,OH
1352,Saint Jude Church,Elyria,OH
1355,Our Lady of Lourdes Catholic Church,Richmond,VA
1356,Saint Philip Catholic Parish,Pittsburgh,PA
1358,St. Elizabeth Catholic Church,Columbus,OH
1360,Our Lady of the Valley,Fort Payne,AL
1362,Saint Rose Parish,Perrysburg,OH
1365,St. Francis de Sales Parish,Morgantown,WV
1367,St. Mary of the Snows,Mansfield,OH
1368,St. Francis Xavier,Parkersburg,WV
1370,Roman Catholic Parish,Toledo,OH
1377,Saint Richard Roman Catholic Church,Swanton,OH
1380,Saint Joan of Arc Church,South Park,PA
1381,Saint Augustine,Signal Mountain,TN
1382,Our Lady of Grace Catholic Church,Greensboro,NC
1383,Holy Spirit Catholic,Soddy Daisy,TN
1384,St. Raymond of the Mountains Church,Donegal,PA
1385,St. Edward Church,Nashville,TN
1387,St. Joseph & St. Stephen the Martyr Churches,,LA
1388,Immaculate Conception Catholic Church,Denham Springs,LA
1395,Church of the Resurrection,Clymer,PA
1396,Our Lady of Fatima,Aliquippa,PA
1397,Holy Martyrs Catholic Church,Medina,OH
1402,Maria Immacolata Church,Houma,LA
1406,Our Lady of Mount Carmel,Buckeye Lake,OH
1407,Ss. Francis & John Catholic Parish,Georgetown,KY
1414,St. Joseph Parish,Cuyahoga Falls,OH
1416,St. Peter the Fisherman,Fairmont,WV
1417,St. Elizabeth Ann Seton Catholic Church,Fayetteville,NC
1418,St. Bernadette Catholic Church,Houma,LA
1419,Our Lady of Perpetual Help,Kenner,LA
1420,St. Michael of the Archangel Catholic Church,Loveland,OH
1421,St. Theresa of Avila Catholic Church,Gonzales,LA
1422,St. Barbara Parish,Erlanger,KY
1423,St. Therese Little Flower Parish,Cincinnati,OH
1439,Saint Aidan Parish,Wexford,PA
1440,Saint Henry Catholic Church,Nashville,TN
1445,St. John the Baptist,Boston,NY
1451,St. Joseph Catholic Church,Petersburg,VA
1453,Prince of Peace,Hoover,AL
1454,Saint Mary's Catholic Church,Greenville,OH
1455,St. John the Baptist,Boston,NY
1456,Our Lady of the Valley,Birmingham,AL
